DEPTH	P_L_95	P_H_95	P_L_99	P_H_99	P_L_95_A	P_H_95_A	P_L_99_A	P_H_99_A	P_L_95_B	P_H_95_B	P_L_99_B	P_H_99_B
48	-0.291666666666667	0.270833333333333	-0.375	0.375	0.291666666666667	0.708333333333333	0.229166666666667	0.729166666666667	0.3125	0.6875	0.25	0.75
49	-0.306122448979592	0.285714285714286	-0.36734693877551	0.346938775510204	0.285714285714286	0.714285714285714	0.224489795918367	0.755102040816326	0.285714285714286	0.714285714285714	0.224489795918367	0.755102040816326
50	-0.28	0.3	-0.42	0.38	0.3	0.7	0.22	0.76	0.3	0.7	0.22	0.76
51	-0.274509803921569	0.274509803921569	-0.372549019607843	0.372549019607843	0.294117647058824	0.686274509803922	0.254901960784314	0.745098039215686	0.294117647058824	0.686274509803922	0.254901960784314	0.745098039215686
52	-0.288461538461538	0.269230769230769	-0.365384615384615	0.326923076923077	0.307692307692308	0.692307692307692	0.269230769230769	0.75	0.288461538461538	0.711538461538462	0.25	0.769230769230769
53	-0.283018867924528	0.283018867924528	-0.320754716981132	0.358490566037736	0.30188679245283	0.69811320754717	0.226415094339623	0.735849056603774	0.320754716981132	0.69811320754717	0.264150943396226	0.773584905660377
54	-0.296296296296296	0.277777777777778	-0.351851851851852	0.333333333333333	0.296296296296296	0.703703703703704	0.240740740740741	0.740740740740741	0.296296296296296	0.685185185185185	0.240740740740741	0.740740740740741
55	-0.272727272727273	0.290909090909091	-0.345454545454545	0.363636363636364	0.309090909090909	0.690909090909091	0.272727272727273	0.763636363636364	0.309090909090909	0.690909090909091	0.254545454545455	0.745454545454545
56	-0.285714285714286	0.285714285714286	-0.375	0.357142857142857	0.303571428571429	0.696428571428571	0.267857142857143	0.732142857142857	0.303571428571429	0.678571428571429	0.232142857142857	0.767857142857143
57	-0.280701754385965	0.263157894736842	-0.350877192982456	0.315789473684211	0.298245614035088	0.684210526315789	0.228070175438596	0.754385964912281	0.298245614035088	0.684210526315789	0.245614035087719	0.736842105263158
58	-0.258620689655172	0.258620689655172	-0.310344827586207	0.379310344827586	0.310344827586207	0.689655172413793	0.258620689655172	0.741379310344828	0.310344827586207	0.689655172413793	0.241379310344828	0.741379310344828
59	-0.288135593220339	0.271186440677966	-0.35593220338983	0.338983050847458	0.288135593220339	0.694915254237288	0.23728813559322	0.728813559322034	0.305084745762712	0.677966101694915	0.23728813559322	0.745762711864407
60	-0.283333333333333	0.266666666666667	-0.35	0.383333333333333	0.316666666666667	0.683333333333333	0.266666666666667	0.716666666666667	0.3	0.716666666666667	0.25	0.75
61	-0.295081967213115	0.262295081967213	-0.377049180327869	0.295081967213115	0.295081967213115	0.688524590163934	0.229508196721311	0.754098360655738	0.327868852459016	0.688524590163934	0.262295081967213	0.770491803278688
62	-0.258064516129032	0.274193548387097	-0.370967741935484	0.370967741935484	0.32258064516129	0.693548387096774	0.241935483870968	0.758064516129032	0.306451612903226	0.693548387096774	0.258064516129032	0.741935483870968
63	-0.26984126984127	0.253968253968254	-0.349206349206349	0.317460317460317	0.317460317460317	0.682539682539683	0.238095238095238	0.73015873015873	0.301587301587302	0.698412698412698	0.26984126984127	0.73015873015873
64	-0.25	0.265625	-0.34375	0.34375	0.3125	0.6875	0.265625	0.75	0.3125	0.6875	0.25	0.734375
65	-0.261538461538462	0.246153846153846	-0.369230769230769	0.353846153846154	0.307692307692308	0.692307692307692	0.246153846153846	0.738461538461539	0.323076923076923	0.692307692307692	0.261538461538462	0.753846153846154
66	-0.272727272727273	0.257575757575758	-0.363636363636364	0.333333333333333	0.318181818181818	0.681818181818182	0.272727272727273	0.742424242424242	0.318181818181818	0.681818181818182	0.257575757575758	0.742424242424242
67	-0.253731343283582	0.283582089552239	-0.358208955223881	0.358208955223881	0.313432835820896	0.701492537313433	0.26865671641791	0.73134328358209	0.313432835820896	0.671641791044776	0.238805970149254	0.716417910447761
68	-0.25	0.279411764705882	-0.338235294117647	0.367647058823529	0.308823529411765	0.691176470588235	0.264705882352941	0.735294117647059	0.308823529411765	0.676470588235294	0.264705882352941	0.735294117647059
69	-0.246376811594203	0.246376811594203	-0.333333333333333	0.347826086956522	0.318840579710145	0.681159420289855	0.260869565217391	0.753623188405797	0.304347826086957	0.666666666666667	0.246376811594203	0.710144927536232
70	-0.242857142857143	0.257142857142857	-0.314285714285714	0.3	0.328571428571429	0.685714285714286	0.271428571428571	0.742857142857143	0.328571428571429	0.671428571428571	0.257142857142857	0.742857142857143
71	-0.253521126760563	0.267605633802817	-0.338028169014085	0.338028169014085	0.309859154929577	0.676056338028169	0.23943661971831	0.746478873239437	0.309859154929577	0.676056338028169	0.267605633802817	0.732394366197183
72	-0.25	0.263888888888889	-0.333333333333333	0.319444444444444	0.319444444444444	0.694444444444444	0.263888888888889	0.75	0.319444444444444	0.680555555555556	0.263888888888889	0.75
73	-0.26027397260274	0.246575342465753	-0.36986301369863	0.328767123287671	0.315068493150685	0.684931506849315	0.246575342465753	0.73972602739726	0.328767123287671	0.671232876712329	0.26027397260274	0.726027397260274
74	-0.283783783783784	0.256756756756757	-0.364864864864865	0.337837837837838	0.310810810810811	0.675675675675676	0.243243243243243	0.743243243243243	0.324324324324324	0.689189189189189	0.243243243243243	0.743243243243243
75	-0.266666666666667	0.266666666666667	-0.333333333333333	0.32	0.306666666666667	0.666666666666667	0.24	0.733333333333333	0.32	0.666666666666667	0.266666666666667	0.72
